,Year,Commodity,Country,SRIC q15
0,2016,Meat and meat preparations,Brazil,0.14466211678126956
1,2016,Meat and meat preparations,USA,0.14216011683353355
2,2016,Meat and meat preparations,Germany,0.07073172648182051
3,2016,Meat and meat preparations,Australia,0.06759336260917792
4,2016,Meat and meat preparations,Netherlands,0.05536793500828552
5,2016,Meat and meat preparations,Poland,0.04650748358837513
6,2016,Meat and meat preparations,Spain,0.038153868908610805
7,2016,Meat and meat preparations,France,0.03473452755108616
8,2016,Meat and meat preparations,South Africa,0.03405585064743481
9,2016,Meat and meat preparations,China,0.030666001531388015
10,2016,Meat and meat preparations,India,0.026353652396667936
11,2016,Meat and meat preparations,Thailand,0.018887983885319825
12,2016,Meat and meat preparations,Ukraine,0.018207871738584992
13,2016,Meat and meat preparations,Denmark,0.01811824543558076
14,2016,Meat and meat preparations,Belgium,0.017648256057617953
15,2016,Meat and meat preparations,Russian Federation,0.01699349711278768
16,2016,Meat and meat preparations,Italy,0.01671022843152296
17,2016,Meat and meat preparations,Kenya,0.014157594506631356
18,2016,Meat and meat preparations,New Zealand,0.014057859834898259
19,2016,Meat and meat preparations,"China, Hong Kong SAR",0.013947021620087109
20,2016,Meat and meat preparations,Argentina,0.011025115337971866
21,2016,Meat and meat preparations,Namibia,0.009373190846112623
22,2016,Meat and meat preparations,Malaysia,0.008649304552379191
23,2016,Meat and meat preparations,Portugal,0.008329730415839212
24,2016,Meat and meat preparations,Canada,0.008194528719069942
25,2016,Meat and meat preparations,Saudi Arabia,0.00796181297411918
26,2016,Meat and meat preparations,United Kingdom,0.007679764181661043
27,2016,Meat and meat preparations,Uruguay,0.007192243845422062
28,2016,Meat and meat preparations,Paraguay,0.007046962165528285
29,2016,Meat and meat preparations,Hungary,0.006997589969195126
30,2016,Meat and meat preparations,Serbia,0.006216818917698157
31,2016,Meat and meat preparations,Ireland,0.005568686081097088
32,2016,Meat and meat preparations,Japan,0.005479588611921578
33,2016,Meat and meat preparations,Guatemala,0.0052420279812879665
34,2016,Meat and meat preparations,Bolivia (Plurinational State of),0.005089632455511216
35,2016,Meat and meat preparations,Bosnia Herzegovina,0.00504851176947163
36,2016,Meat and meat preparations,Lithuania,0.004773818502219973
37,2016,Meat and meat preparations,Nicaragua,0.004381093062505232
38,2016,Meat and meat preparations,Israel,0.003868495256365577
39,2016,Meat and meat preparations,Croatia,0.003864287696129653
40,2016,Meat and meat preparations,Czechia,0.0036715369612325796
41,2016,Meat and meat preparations,Belarus,0.00343843279381553
42,2016,Meat and meat preparations,Estonia,0.0025535453594217397
43,2016,Meat and meat preparations,Turkey,0.0024356059057974266
44,2016,Meat and meat preparations,Romania,0.002207393786021377
45,2016,Meat and meat preparations,Slovakia,0.0019453964781640362
46,2016,Meat and meat preparations,Sweden,0.0015992030806583086
47,2016,Meat and meat preparations,Slovenia,0.001590869821781859
48,2016,Meat and meat preparations,Botswana,0.0013920162926548568
49,2016,Meat and meat preparations,United Arab Emirates,0.0012854494985363569
50,2016,Meat and meat preparations,Greece,0.0012605840126042967
51,2016,Meat and meat preparations,Mexico,0.0007400613843093917
52,2016,Meat and meat preparations,Finland,0.0006676885809511645
53,2016,Meat and meat preparations,Pakistan,0.0005996730965975244
54,2016,Meat and meat preparations,Latvia,0.0005638117509576071
55,2016,Meat and meat preparations,Sri Lanka,0.00039093351457223074
56,2016,Meat and meat preparations,Bulgaria,0.0002885784725185933
57,2016,Meat and meat preparations,Kazakhstan,0.0002676907982677067
58,2016,Meat and meat preparations,Rep. of Korea,0.00019630217248179328
59,2016,Meat and meat preparations,Uganda,0.0001662177134647751
60,2016,Meat and meat preparations,North Macedonia,0.00015789601930524052
61,2016,Meat and meat preparations,Montenegro,0.00014892248330259863
62,2016,Meat and meat preparations,Jordan,0.0001133404842246163
63,2016,Meat and meat preparations,Viet Nam,0.00010876273955458194
64,2016,Meat and meat preparations,Singapore,7.511181337216655e-05
65,2016,Meat and meat preparations,Lebanon,7.0593768679866e-05
66,2016,Meat and meat preparations,Mauritius,6.616383726651032e-05
67,2016,Meat and meat preparations,El Salvador,5.4734665049823786e-05
68,2016,Meat and meat preparations,Switzerland,4.283029603026231e-05
69,2016,Meat and meat preparations,Georgia,4.168273176121092e-05
70,2016,Meat and meat preparations,Colombia,3.227877669438254e-05
71,2016,Meat and meat preparations,Jamaica,2.7595142040095834e-05
72,2016,Meat and meat preparations,Morocco,2.0948834951636744e-05
73,2016,Meat and meat preparations,Qatar,1.5835093859167864e-05
74,2016,Meat and meat preparations,Iceland,1.2163922331963258e-05
75,2016,Meat and meat preparations,Norway,8.336897923248718e-06
76,2016,Meat and meat preparations,Dominican Rep.,7.2420719472254874e-06
77,2016,Meat and meat preparations,State of Palestine,6.774322758861761e-06
78,2016,Meat and meat preparations,Philippines,4.966847219019789e-06
79,2016,Meat and meat preparations,Cyprus,4.179288541890655e-06
80,2016,Meat and meat preparations,Benin,3.9964708887473635e-06
81,2016,Meat and meat preparations,Kyrgyzstan,2.864877783852859e-06
82,2016,Meat and meat preparations,Luxembourg,2.6185583962708816e-06
83,2016,Meat and meat preparations,Armenia,1.980150698512135e-06
84,2016,Meat and meat preparations,Peru,1.8471855449473282e-06
85,2016,Meat and meat preparations,Barbados,1.7281072363392598e-06
86,2016,Meat and meat preparations,Kuwait,1.6601641500120713e-06
87,2016,Meat and meat preparations,Rep. of Moldova,1.2679821334214085e-06
88,2016,Meat and meat preparations,Zambia,7.111872031359316e-07
